Generation 220, Best fitness: 33.01774109635187, Average fitness: 26.032373890704847
Generation 221, Best fitness: 32.62113770159107, Average fitness: 25.980974077234052
Generation 222, Best fitness: 33.20020032644748, Average fitness: 26.004912095170962
Generation 223, Best fitness: 32.95535018822807, Average fitness: 25.982767956387345
Generation 224, Best fitness: 32.62705582419095, Average fitness: 26.01034742524479
Generation 225, Best fitness: 32.997129327531354, Average fitness: 25.998652666772823
Generation 226, Best fitness: 33.198827236884206, Average fitness: 26.008145755957187
Generation 227, Best fitness: 32.903198358651935, Average fitness: 25.967592476663516
Generation 228, Best fitness: 32.903198358651935, Average fitness: 25.95627316265982
Generation 229, Best fitness: 32.634974971231415, Average fitness: 25.954740351107077
Generation 230, Best fitness: 32.73805664986517, Average fitness: 25.997809109160205
Generation 231, Best fitness: 32.96510510460177, Average fitness: 25.95773551742962
Generation 232, Best fitness: 33.02390622104741, Average fitness: 25.957053321391182
Generation 233, Best fitness: 33.482664914566826, Average fitness: 25.9567525865659
Generation 234, Best fitness: 33.11540726379643, Average fitness: 26.005516624489175
Generation 235, Best fitness: 33.105579907730615, Average fitness: 25.976835239377593
Generation 236, Best fitness: 33.19505681318767, Average fitness: 25.95603115015976
Generation 237, Best fitness: 33.26033256521229, Average fitness: 25.973039893344662
Generation 238, Best fitness: 33.26033256521229, Average fitness: 25.945550692075923
Generation 239, Best fitness: 33.26033256521229, Average fitness: 25.93200906031983
Generation 240, Best fitness: 33.26033256521229, Average fitness: 25.91763001358268
Generation 241, Best fitness: 33.26033256521229, Average fitness: 25.962597528974452
Generation 242, Best fitness: 33.09942622791146, Average fitness: 25.917334022769072
Generation 243, Best fitness: 33.09942622791146, Average fitness: 25.966172885317476
Generation 244, Best fitness: 32.87906042408882, Average fitness: 25.97704138267907
Generation 245, Best fitness: 33.33042452083963, Average fitness: 25.99857914595894
Generation 246, Best fitness: 33.53195986295051, Average fitness: 26.03836199954643
Generation 247, Best fitness: 33.53195986295051, Average fitness: 26.041999915737247
Generation 248, Best fitness: 33.08209770258966, Average fitness: 26.076999955695037
Generation 249, Best fitness: 33.01940164103946, Average fitness: 26.054204797282917
Generation 250, Best fitness: 32.9108806381428, Average fitness: 26.071051961910435
Generation 251, Best fitness: 32.9108806381428, Average fitness: 26.07700991257357
Generation 252, Best fitness: 32.575116413110365, Average fitness: 26.02094423056529
