Population: 300, Number of Generations: 400
Generation 210, Best fitness: 27.848391119600343, Average fitness: 22.270571537307887
Generation 211, Best fitness: 28.077838868574606, Average fitness: 22.25393684906683
Generation 212, Best fitness: 28.088153692831, Average fitness: 22.21182053636246
Generation 213, Best fitness: 28.192694295349998, Average fitness: 22.158117451398734
Generation 214, Best fitness: 28.192694295349998, Average fitness: 22.025439457804143
Generation 215, Best fitness: 28.38717055473934, Average fitness: 22.21426664943474
Generation 216, Best fitness: 28.13704201833953, Average fitness: 22.237955694354905
Generation 217, Best fitness: 28.75239447254646, Average fitness: 22.316023346901652
Generation 218, Best fitness: 28.75239447254646, Average fitness: 22.344990290795288
Generation 219, Best fitness: 27.942809738426973, Average fitness: 22.32784920840566
Generation 220, Best fitness: 27.942809738426973, Average fitness: 22.27287721604213
Generation 221, Best fitness: 28.59164234151606, Average fitness: 22.17789038807925
Generation 222, Best fitness: 28.22537962023913, Average fitness: 22.2783091039711
Generation 223, Best fitness: 28.22537962023913, Average fitness: 22.133644377394614
Generation 224, Best fitness: 28.22537962023913, Average fitness: 22.04793313357435
Generation 225, Best fitness: 28.45239809948567, Average fitness: 22.186292847066724
Generation 226, Best fitness: 28.45239809948567, Average fitness: 22.13358170239347
Generation 227, Best fitness: 28.22537962023913, Average fitness: 22.118705380062032
Generation 228, Best fitness: 28.192136222934874, Average fitness: 22.177833598864446
Generation 229, Best fitness: 28.492599780027014, Average fitness: 22.032774897716816
Generation 230, Best fitness: 28.492599780027014, Average fitness: 21.984996386104587
Generation 231, Best fitness: 28.492599780027014, Average fitness: 21.999279090701638
Generation 232, Best fitness: 28.45239809948567, Average fitness: 22.11733855044865
Generation 233, Best fitness: 28.45239809948567, Average fitness: 22.054283912653617
Generation 234, Best fitness: 28.942038633522117, Average fitness: 22.11833799482301
Generation 235, Best fitness: 28.46426084211556, Average fitness: 22.214596651320797
Generation 236, Best fitness: 28.536096249102606, Average fitness: 22.087775504783043
Generation 237, Best fitness: 28.1066186469738, Average fitness: 22.16726751859823
Generation 238, Best fitness: 28.606649034050694, Average fitness: 22.227511862657536
Generation 239, Best fitness: 28.606649034050694, Average fitness: 22.379556546777113
Generation 240, Best fitness: 28.361058628731527, Average fitness: 22.24635441725445
Generation 241, Best fitness: 28.30507263932104, Average fitness: 22.341555171204764
Generation 242, Best fitness: 28.333328479244102, Average fitness: 22.254107454738477
Generation 243, Best fitness: 28.767789355097232, Average fitness: 22.24571103958661
Generation 244, Best fitness: 28.33017053447344, Average fitness: 22.16994011361076
Generation 245, Best fitness: 28.51447143326414, Average fitness: 22.038685668853685
Generation 246, Best fitness: 28.55655278412439, Average fitness: 22.024637085430566
Generation 247, Best fitness: 28.55655278412439, Average fitness: 22.105909075689055
Generation 248, Best fitness: 28.338968863282314, Average fitness: 22.138575749043316
Generation 249, Best fitness: 28.600031509884495, Average fitness: 22.143672921215913
Generation 250, Best fitness: 28.600031509884495, Average fitness: 22.211817176638238
Generation 251, Best fitness: 28.600031509884495, Average fitness: 22.099260567534294
Generation 252, Best fitness: 28.624668329109557, Average fitness: 22.32106091239377
Generation 253, Best fitness: 28.624668329109557, Average fitness: 22.317238580023773
Generation 254, Best fitness: 28.057099287397342, Average fitness: 22.24060344096843
Generation 255, Best fitness: 28.057099287397342, Average fitness: 22.254876345247382
Generation 256, Best fitness: 27.937343959378396, Average fitness: 22.270365201325323
Generation 257, Best fitness: 28.305463089263817, Average fitness: 22.15091090028227
Generation 258, Best fitness: 28.305463089263817, Average fitness: 22.176697991121923
Generation 259, Best fitness: 28.130350465466417, Average fitness: 22.097402394175198
Generation 260, Best fitness: 28.130350465466417, Average fitness: 22.16215218860557
Generation 261, Best fitness: 28.130350465466417, Average fitness: 22.107450005141764
Generation 262, Best fitness: 27.995062085563536, Average fitness: 22.125449785123596
Generation 263, Best fitness: 28.692326255340056, Average fitness: 22.136526583119863
Generation 264, Best fitness: 28.364681379858936, Average fitness: 21.942206732043186
Generation 265, Best fitness: 28.364681379858936, Average fitness: 21.911259187289847
Generation 266, Best fitness: 28.364681379858936, Average fitness: 21.92590212940202
Generation 267, Best fitness: 28.364681379858936, Average fitness: 21.99649007527378
Generation 268, Best fitness: 28.621546400797683, Average fitness: 22.03626092465707
Generation 269, Best fitness: 28.621546400797683, Average fitness: 21.953701562765456
Generation 270, Best fitness: 28.134020414964564, Average fitness: 22.01306660394174
Generation 271, Best fitness: 28.134020414964564, Average fitness: 21.955538379843663
Generation 272, Best fitness: 28.180656328512686, Average fitness: 21.972613286187176
Generation 273, Best fitness: 28.180656328512686, Average fitness: 21.884202208808766
Generation 274, Best fitness: 28.134020414964564, Average fitness: 22.0250064131475
Generation 275, Best fitness: 28.134020414964564, Average fitness: 21.95177925407519
Generation 276, Best fitness: 27.969732296543267, Average fitness: 21.955647234519155
Generation 277, Best fitness: 27.968214678883896, Average fitness: 22.1160699116107
Generation 278, Best fitness: 28.117358793546032, Average fitness: 22.135479337644355
Generation 279, Best fitness: 28.329369223857643, Average fitness: 22.200864687548954
Generation 280, Best fitness: 27.946976371446134, Average fitness: 22.09307705748708
Generation 281, Best fitness: 28.14886218715791, Average fitness: 22.125764523223893
Generation 282, Best fitness: 28.482115428615845, Average fitness: 22.292516396091045
Generation 283, Best fitness: 28.482115428615845, Average fitness: 22.17758461190378
Generation 284, Best fitness: 28.482115428615845, Average fitness: 22.273435743214193
Generation 285, Best fitness: 27.95066363674668, Average fitness: 22.32182545358568
Generation 286, Best fitness: 27.87236986886072, Average fitness: 22.177455453115446
Generation 287, Best fitness: 28.277670843116972, Average fitness: 22.168607341974216
Generation 288, Best fitness: 27.99795596137009, Average fitness: 22.13860771038843
Generation 289, Best fitness: 28.550261191997848, Average fitness: 22.092185794661514
Generation 290, Best fitness: 27.838889982541684, Average fitness: 22.114446091716868
Generation 291, Best fitness: 28.029322617453303, Average fitness: 22.128264511198104
Generation 292, Best fitness: 28.256687898462086, Average fitness: 22.1016151194951
Generation 293, Best fitness: 28.256687898462086, Average fitness: 21.97768374517565
Generation 294, Best fitness: 28.191042661489817, Average fitness: 22.148303792887013
Generation 295, Best fitness: 28.191042661489817, Average fitness: 22.147164452083313
Generation 296, Best fitness: 28.151222968814878, Average fitness: 22.161506450357823
Generation 297, Best fitness: 28.151222968814878, Average fitness: 22.121839360840376
Generation 298, Best fitness: 28.115581983190154, Average fitness: 22.11967889365218
Generation 299, Best fitness: 28.628754423065537, Average fitness: 22.24125593630198
Generation 300, Best fitness: 28.628754423065537, Average fitness: 22.117838126046646
Generation 301, Best fitness: 28.628754423065537, Average fitness: 22.18069393253775
Generation 302, Best fitness: 28.628754423065537, Average fitness: 22.192174181249186
Generation 303, Best fitness: 28.628754423065537, Average fitness: 22.281454394417686
Generation 304, Best fitness: 28.628754423065537, Average fitness: 22.229879799964472
Generation 305, Best fitness: 28.501676283396723, Average fitness: 22.16067634280273
Generation 306, Best fitness: 28.501676283396723, Average fitness: 22.104698337713646
Generation 307, Best fitness: 28.501676283396723, Average fitness: 22.190624649772207
Generation 308, Best fitness: 28.959083054255647, Average fitness: 22.122008076621185
Generation 309, Best fitness: 29.088082017656696, Average fitness: 22.11707154927523
Generation 310, Best fitness: 29.088082017656696, Average fitness: 22.1154764263061
Generation 311, Best fitness: 29.088082017656696, Average fitness: 22.03652709097279
Generation 312, Best fitness: 28.5249311371007, Average fitness: 22.12320832098686
Generation 313, Best fitness: 28.482115428615845, Average fitness: 22.261061771309475
Generation 314, Best fitness: 28.482115428615845, Average fitness: 22.27292041579261
Generation 315, Best fitness: 28.59127475563222, Average fitness: 22.39180588614371
Generation 316, Best fitness: 28.59127475563222, Average fitness: 22.352568596984018
Generation 317, Best fitness: 28.41579388343085, Average fitness: 22.152588221429628
Generation 318, Best fitness: 28.41579388343085, Average fitness: 22.163373996057487
Generation 319, Best fitness: 28.327084882630192, Average fitness: 22.18709325935348
Generation 320, Best fitness: 28.068056575899057, Average fitness: 22.256175509617552
Generation 321, Best fitness: 27.42906394862874, Average fitness: 22.189325086649387
Generation 322, Best fitness: 28.117911417495996, Average fitness: 22.141890236029145
Generation 323, Best fitness: 28.117911417495996, Average fitness: 22.059813771453328
Generation 324, Best fitness: 28.26940943980288, Average fitness: 21.93042176004685
Generation 325, Best fitness: 28.03323735615475, Average fitness: 21.89972749967258
Generation 326, Best fitness: 28.638802647724905, Average fitness: 21.90126407016643
Generation 327, Best fitness: 28.638802647724905, Average fitness: 21.821530745629296
Generation 328, Best fitness: 28.638802647724905, Average fitness: 21.817703093035398
Generation 329, Best fitness: 28.638802647724905, Average fitness: 21.92067221873053
Generation 330, Best fitness: 28.155801403364308, Average fitness: 22.042119678931837
Generation 331, Best fitness: 28.737004966087362, Average fitness: 22.020520978461015
Generation 332, Best fitness: 28.845101358455647, Average fitness: 22.03974496529588
Generation 333, Best fitness: 28.845101358455647, Average fitness: 22.05104970638918
Generation 334, Best fitness: 28.845101358455647, Average fitness: 22.03224899432285
Generation 335, Best fitness: 28.845101358455647, Average fitness: 22.110053584490956
Generation 336, Best fitness: 28.845101358455647, Average fitness: 22.02987612267422
Generation 337, Best fitness: 28.747695710939986, Average fitness: 22.075891473544402
Generation 338, Best fitness: 28.747695710939986, Average fitness: 21.996675801521256
Generation 339, Best fitness: 28.63852417824465, Average fitness: 21.999747094465388
Generation 340, Best fitness: 27.99407649533233, Average fitness: 21.844536293963092
Generation 341, Best fitness: 28.128276272821502, Average fitness: 21.829860806972192
Generation 342, Best fitness: 27.99407649533233, Average fitness: 21.838210698007277
Generation 343, Best fitness: 27.969732296543267, Average fitness: 21.872304916724897
Generation 344, Best fitness: 28.14447713171651, Average fitness: 21.88584239350994
Generation 345, Best fitness: 28.013294660929407, Average fitness: 21.87937452996908
Generation 346, Best fitness: 27.820497945630507, Average fitness: 21.8343014235135
Generation 347, Best fitness: 27.997859029152046, Average fitness: 21.85568858134174
Generation 348, Best fitness: 28.512462053751225, Average fitness: 22.02154182744588
Generation 349, Best fitness: 27.950751224451764, Average fitness: 22.009586459755372
Generation 350, Best fitness: 28.521587629392844, Average fitness: 21.914987878290248
Generation 351, Best fitness: 28.317467929140875, Average fitness: 21.894357024751415
Generation 352, Best fitness: 28.317467929140875, Average fitness: 22.021966143642665
Generation 353, Best fitness: 28.08682224512541, Average fitness: 21.99581308026739
Generation 354, Best fitness: 28.412083675448287, Average fitness: 22.153421813809143
Generation 355, Best fitness: 28.185869151306893, Average fitness: 22.09832308165436
Generation 356, Best fitness: 28.373698982603912, Average fitness: 22.05126511482139
Generation 357, Best fitness: 27.969732296543267, Average fitness: 22.08356771805942
Generation 358, Best fitness: 27.969732296543267, Average fitness: 22.069122683154905
Generation 359, Best fitness: 27.48634987619171, Average fitness: 22.118752608047554
Generation 360, Best fitness: 27.80741037438853, Average fitness: 22.111714185685866
Generation 361, Best fitness: 28.003232588223085, Average fitness: 22.215988305214324
Generation 362, Best fitness: 27.80741037438853, Average fitness: 22.343486492438903
Generation 363, Best fitness: 27.677883792905984, Average fitness: 22.285857650576055
Generation 364, Best fitness: 28.52878491493381, Average fitness: 22.144631062718993
Generation 365, Best fitness: 28.52878491493381, Average fitness: 22.14671746197798
Generation 366, Best fitness: 27.48933453890732, Average fitness: 22.17668127391468
Generation 367, Best fitness: 28.990192569918655, Average fitness: 22.196852545598414
Generation 368, Best fitness: 28.990192569918655, Average fitness: 22.20991488169434
Generation 369, Best fitness: 28.722462011124748, Average fitness: 22.058567665765967
Generation 370, Best fitness: 28.722462011124748, Average fitness: 22.043736499941947
Generation 371, Best fitness: 28.722462011124748, Average fitness: 21.983676668473205
Generation 372, Best fitness: 28.344356405144286, Average fitness: 21.98631206395604
